UNIT_CODE,FULL_NAME
ABLI,Abraham Lincoln Birthplace National Historical Park
ACAD,Acadia National Park
AGFO,Agate Fossil Beds National Monument
ALAG,Alagnak Wild River National Wild And Scenic River
ALFL,Alibates Flint Quarries National Monument
ALPO,Allegheny Portage Railroad National Historic Site
AMIS,Amistad National Recreation Area
AMME,American Memorial Park
ANAC,Anacostia Park
ANIA,Aniakchak National Monument and Preserve
ANTI,Antietam National Battlefield
APCO,Appomattox Court House National Historical Park
APIS,Apostle Islands National Lakeshore
APPA,Appalachian National Scenic Trail
ARCH,Arches National Park
ARPO,Arkansas Post National Memorial
ASIS,Assateague Island National Seashore
AZRU,Aztec Ruins National Monument
BADL,Badlands National Park
BAND,Bandelier National Monument
BAWA,Baltimore-Washington National Parkway
BELA,Bering Land Bridge National Preserve
BEOL,Bent's Old Fort National Historic Site
BIBE,Big Bend National Park
BICA,Bighorn Canyon National Recreation Area
BICY,Big Cypress National Preserve
BIHO,Big Hole National Battlefield
BISC,Biscayne National Park
BISO,Big South Fork National River and Recreation Area National River
BITH,Big Thicket National Preserve
BLCA,Black Canyon Of The Gunnison National Park
BLRI,Blue Ridge Parkway National Parkway
BLUE,Bluestone National Scenic River National Wild And Scenic River
BOHA,Boston Harbor Islands National Recreation Area
BOWA,Booker T. Washington National Monument
BRCA,Bryce Canyon National Park
BUFF,Buffalo National River
BUIS,Buck Island Reef National Monument
CABR,Cabrillo National Monument
CACH,Canyon De Chelly National Monument
CACO,Cape Cod National Seashore
CAGR,Casa Grande Ruins National Monument
CAHA,Cape Hatteras National Seashore
CAHE,Capitol Hill Parks
CAKR,Cape Krusenstern National Monument
CALO,Cape Lookout National Seashore
CANA,Canaveral National Seashore
CANY,Canyonlands National Park
CARE,Capitol Reef National Park
CARL,Carl Sandburg Home National Historic Site
CASA,Castillo De San Marcos National Monument
CATO,Catoctin Mountain Park
CAVE,Carlsbad Caverns National Park
CAVO,Capulin Volcano National Monument
CEBR,Cedar Breaks National Monument
CHAT,Chattahoochee River National Recreation Area
CHCH,Chickamauga and Chattanooga National Military Park
CHCU,Chaco Culture National Historical Park
CHIC,Chickasaw National Recreation Area
CHIR,Chiricahua National Monument
CHIS,Channel Islands National Park
CHOH,Chesapeake and Ohio Canal National Historical Park
CIRO,City Of Rocks National Reserve
COLM,Colorado National Monument
COLO,Colonial National Historical Park
CONG,Congaree National Park
CORO,Coronado National Memorial
COWP,Cowpens National Battlefield
CRLA,Crater Lake National Park
CRMO,Craters Of The Moon National Monument and Preserve
CUGA,Cumberland Gap National Historical Park
CUIS,Cumberland Island National Seashore
CURE,Curecanti National Recreation Area
CUVA,Cuyahoga Valley National Park
DENA,Denali National Park and Preserve
DEPO,Devils Postpile National Monument
DETO,Devils Tower National Monument
DEVA,Death Valley National Park
DEWA,Delaware Water Gap National Recreation Area
DINO,Dinosaur National Monument
DRTO,Dry Tortugas National Park
EBLA,Ebey's Landing NH Reserve National Reserve
EFMO,Effigy Mounds National Monument
EISE,Eisenhower National Historic Site
ELMA,El Malpais National Monument
ELMO,El Morro National Monument
EVER,Everglades National Park
FIIS,Fire Island National Seashore
FLFO,Florissant Fossil Beds National Monument
FOBO,Fort Bowie National Historic Site
FOBU,Fossil Butte National Monument
FOCA,Fort Caroline National Memorial
ALKA,Ala Kahakai National Historic Trail
FODA,Fort Davis National Historic Site
FODO,Fort Donelson National Battlefield
FOFR,Fort Frederica National Monument
FOLA,Fort Laramie National Historic Site
FOLS,Fort Larned National Historic Site
FOMA,Fort Matanzas National Monument
FONE,Fort Necessity National Battlefield
FOPO,Fort Point National Historic Site
FOPU,Fort Pulaski National Monument
FOSU,Fort Sumter National Monument
FOUN,Fort Union National Monument
FOUS,Fort Union Trading Post National Historic Site
FOVA,Fort Vancouver National Historic Site
FOWA,Fort Washington Park
FRDO,Frederick Douglass National Historic Site
FRHI,Friendship Hill National Historic Site
